attribute_code,attribute_name,data_type,Options
anti_aging,ANTI AGING,select,"Anti-Wrinkle,Anti Dark Spots,First Wrinkles,Lifting"
texture,TEXTURE,select,"Balm,Cream,Gel Jelly,Oil,Milk,Mist & Lotion & Water,Fluid,Scrub"
skin_type,SKIN TYPE,select,"Normal Skin,Combination Oily Skin,Dry Dehydrated Skin,Sensitive Skin,Acne Prone Skin,All Skin Types,Mature Skin"
product_type_val,PRODUCT TYPE,select,"Accessories,After Sun,Anti-Aging Cream,Base,Bath Bomb,Bb-Cream,Before Shampoo,Blush,Bronzer,Cleanser,Concealer,Conditioner,Day Cream,Deodorant,Eau_Parfum,Eau_Toilette,Exfoliating Shower Gel,Eye Pencil,Eye-Contour,Eyebrows,Eyeliner,Eyeshadow,Feet Care,Firming & Slimming Care,Food Supplement,Foot Care,Foundation,Fresh_Water,Gloss,Hair & Body Mist,Hair Mask,Hand & Nail Care,Hand Care,Highlighter,Kit,Lip Contour,Lips Care,Lipstick,Liquid Hand Soap,Make Up Remover,Make-Up Palette,Mascara,Mask,Men Face Care,Moisturizer,Monoi,Nail Polish,Nail Polish Remover,Night Cream,Powder,Product Type [En],Rinsing Vinegar,Scrub,Scrub Mask,Self Tanner,Self Tanner Summer Glow,Serum Cure,Serum No Rinse Care,Shampoo,Shower Gel,Shower Oil,Soap,Sun Protection,Treatment,Vinegar"
cleanser_type,CLEANSER TYPE,select,"Micellar Water,Oil Cleanser,Milk Cleanser,Gel Cleanser,Floral Water,Makeup Wipes,Bi Phase Makeup Remover,Scrub Mask"
limited_edition,LIMITED EDITION,select,"60 Years Anniversary,Nuit Vanille,Green Summer,Festive Makeup,Good Vibes Only,Hello Spring,At The Heart Of Pinetrees,First Snowflakes"
who,WHO,select,"For Her,For Him"
engagement,ENGAGEMENT,select,"Sans Sulfate,Sans Silicone,Sans Parfum,Produit Vegan,Plant For Life"
complexion,COMPLEXION,select,"Rosy,Beige,Golden,Brown"
coverage,COVERAGE,select,"Light,Medium,High"
effect,EFFECT,select,"Shiny-Glossy,Matt,Pearly-Glittery,Satiny,Long Lasting,High Coverage,Luminous"
result,RESULT,select,"Curling,Lengthening,Waterproof,Volumizing"
area,AREA,select,"Complexion,Eyes & Eyebrows,Lips,Nails,Body,Hands,Feet Legs,Face"
hair_color,HAIR COLOR,select,"Blond,Brown,Grey,Colored"
hair_type,HAIR TYPE,select,"Dandruff Hair,Dull Hair,All Hair Types,Dry Hair,Greasy Hair,Fine Hair,Numb Hair Loss,Colored Hair,Unruly Hair,Extra Dry Damaged Hair,Curly Hair"
note,NOTE,select,"Colorful Freshness,Timeless Floral,Sensuality,Woody"
intensity,INTENSITY,select,"Light,Medium,Intense"
scent,SCENT,select,"Fruity,Sensual,Citrus,Floral,Argan & Rose"
plaisirs_nature,PLAISIRS NATURE,select,"Pn Relax,Pn Sensual,Pn Energy"
want_to,WANT TO,select,Volume
